ticker,date,close
XOM,2017-08-08,79.96
XOM,2017-08-07,80.16
XOM,2017-08-04,80.21
XOM,2017-08-03,80.49
XOM,2017-08-02,80.6
XOM,2017-08-01,80.17
XOM,2017-07-31,80.04
XOM,2017-07-28,79.6
XOM,2017-07-27,80.83
XOM,2017-07-26,80.37
XOM,2017-07-25,80.27
XOM,2017-07-24,79.87
XOM,2017-07-21,80.12
XOM,2017-07-20,80.86
XOM,2017-07-19,80.85
XOM,2017-07-18,80.6
XOM,2017-07-17,80.86
XOM,2017-07-14,81.28
XOM,2017-07-13,80.97
XOM,2017-07-12,80.96
XOM,2017-07-11,80.6
XOM,2017-07-10,80.16
XOM,2017-07-07,80.22
XOM,2017-07-06,80.12
XOM,2017-07-05,80.85
XOM,2017-07-03,82.1
XOM,2017-06-30,80.73
XOM,2017-06-29,80.7
XOM,2017-06-28,81.53
XOM,2017-06-27,81.11
XOM,2017-06-26,81.24
XOM,2017-06-23,81.61
XOM,2017-06-22,81.08
XOM,2017-06-21,81.44
XOM,2017-06-20,82.31
XOM,2017-06-19,82.76
XOM,2017-06-16,83.49
XOM,2017-06-15,82.26
XOM,2017-06-14,82.07
XOM,2017-06-13,82.96
XOM,2017-06-12,82.93
XOM,2017-06-09,82.13
XOM,2017-06-08,80.62
XOM,2017-06-07,80.91
XOM,2017-06-06,81.21
XOM,2017-06-05,80.12
XOM,2017-06-02,79.5
XOM,2017-06-01,80.7
XOM,2017-05-31,80.5
XOM,2017-05-30,81.1
XOM,2017-05-26,81.55
XOM,2017-05-25,81.75
XOM,2017-05-24,82.29
XOM,2017-05-23,82.58
XOM,2017-05-22,82.29
XOM,2017-05-19,81.93
XOM,2017-05-18,81.75
XOM,2017-05-17,81.99
XOM,2017-05-16,82.55
XOM,2017-05-15,82.8
XOM,2017-05-12,82.55
XOM,2017-05-11,82.61
XOM,2017-05-10,81.91
XOM,2017-05-09,82.31
XOM,2017-05-08,82.89
XOM,2017-05-05,82.02
XOM,2017-05-04,81.64
XOM,2017-05-03,82.7
XOM,2017-05-02,82.05
XOM,2017-05-01,82.06
XOM,2017-04-28,81.65
XOM,2017-04-27,81.26
XOM,2017-04-26,81.4
XOM,2017-04-25,81.73
XOM,2017-04-24,81.11
XOM,2017-04-21,80.69
XOM,2017-04-20,81.01
XOM,2017-04-19,80.49
XOM,2017-04-18,81.05
XOM,2017-04-17,81.58
XOM,2017-04-13,81.69
XOM,2017-04-12,82.97
XOM,2017-04-11,82.84
XOM,2017-04-10,83.13
XOM,2017-04-07,82.76
XOM,2017-04-06,83.01
XOM,2017-04-05,82.53
XOM,2017-04-04,82.37
XOM,2017-04-03,82.07
XOM,2017-03-31,82.01
XOM,2017-03-30,83.7
XOM,2017-03-29,82.02
XOM,2017-03-28,81.84
XOM,2017-03-27,81.25
XOM,2017-03-24,81.23
XOM,2017-03-23,81.86
XOM,2017-03-22,81.76
XOM,2017-03-21,81.83
XOM,2017-03-20,82
XOM,2017-03-17,82
XOM,2017-03-16,82.07
XOM,2017-03-15,82
XOM,2017-03-14,80.99
XOM,2017-03-13,81.42
XOM,2017-03-10,81.61
XOM,2017-03-09,81.67
XOM,2017-03-08,81.03
XOM,2017-03-07,82.52
XOM,2017-03-06,82.83
XOM,2017-03-03,82.46
XOM,2017-03-02,83.3
XOM,2017-03-01,83.02
XOM,2017-02-28,81.32
XOM,2017-02-27,81.54
XOM,2017-02-24,81.08
XOM,2017-02-23,81.78
XOM,2017-02-22,80.93
XOM,2017-02-21,81.89
XOM,2017-02-17,81.76
XOM,2017-02-16,82.3
XOM,2017-02-15,83.16
XOM,2017-02-14,82.82
XOM,2017-02-13,83
XOM,2017-02-10,82.52
XOM,2017-02-09,81.84
XOM,2017-02-08,81.48
XOM,2017-02-07,82.77
